result,center,east,south_east,south
BASE_EMPTY,Empty,Empty,Empty,Empty
BASE_EMPTY,Empty,Empty,Empty,Wall
BASE_EMPTY,Empty,Empty,Empty,Door
BASE_EMPTY,Empty,Empty,Empty,StairN
BASE_EMPTY,Empty,Empty,Empty,StairS
BASE_EMPTY,Empty,Empty,Empty,StairE
BASE_EMPTY,Empty,Empty,Empty,StairW
BASE_EMPTY,Empty,Empty,Wall,Empty
BASE_EMPTY,Empty,Empty,Wall,Wall
BASE_EMPTY,Empty,Empty,Wall,Door
BASE_EMPTY,Empty,Empty,Wall,StairN
BASE_EMPTY,Empty,Empty,Wall,StairS
BASE_EMPTY,Empty,Empty,Wall,StairE
BASE_EMPTY,Empty,Empty,Wall,StairW
BASE_EMPTY,Empty,Empty,Door,Empty
BASE_EMPTY,Empty,Empty,Door,Wall
BASE_EMPTY,Empty,Empty,Door,Door
BASE_EMPTY,Empty,Empty,Door,StairN
BASE_EMPTY,Empty,Empty,Door,StairS
BASE_EMPTY,Empty,Empty,Door,StairE
BASE_EMPTY,Empty,Empty,Door,StairW
BASE_EMPTY,Empty,Empty,StairN,Empty
BASE_EMPTY,Empty,Empty,StairN,Wall
BASE_EMPTY,Empty,Empty,StairN,Door
BASE_EMPTY,Empty,Empty,StairN,StairN
BASE_EMPTY,Empty,Empty,StairN,StairS
BASE_EMPTY,Empty,Empty,StairN,StairE
BASE_EMPTY,Empty,Empty,StairN,StairW
BASE_EMPTY,Empty,Empty,StairS,Empty
BASE_EMPTY,Empty,Empty,StairS,Wall
BASE_EMPTY,Empty,Empty,StairS,Door
BASE_EMPTY,Empty,Empty,StairS,StairN
BASE_EMPTY,Empty,Empty,StairS,StairS
BASE_EMPTY,Empty,Empty,StairS,StairE
BASE_EMPTY,Empty,Empty,StairS,StairW
BASE_EMPTY,Empty,Empty,StairE,Empty
BASE_EMPTY,Empty,Empty,StairE,Wall
BASE_EMPTY,Empty,Empty,StairE,Door
BASE_EMPTY,Empty,Empty,StairE,StairN
BASE_EMPTY,Empty,Empty,StairE,StairS
BASE_EMPTY,Empty,Empty,StairE,StairE
BASE_EMPTY,Empty,Empty,StairE,StairW
BASE_EMPTY,Empty,Empty,StairW,Empty
