1: material=Empty walls=WallAdjacency(0x0), doors=DoorAdjacency(0x0)
2: material=Empty walls=WallAdjacency(SOUTH), doors=DoorAdjacency(0x0)
3: material=Empty walls=WallAdjacency(SOUTH_EAST | SOUTH), doors=DoorAdjacency(0x0)
4: material=Empty walls=WallAdjacency(SOUTH | SOUTH_WEST), doors=DoorAdjacency(0x0)
5: material=Empty walls=WallAdjacency(SOUTH_EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(0x0)
6: material=Wall walls=WallAdjacency(0x0), doors=DoorAdjacency(0x0)
7: material=Wall walls=WallAdjacency(EAST), doors=DoorAdjacency(0x0)
8: material=Wall walls=WallAdjacency(SOUTH), doors=DoorAdjacency(0x0)
9: material=Wall walls=WallAdjacency(EAST | SOUTH), doors=DoorAdjacency(0x0)
10: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH), doors=DoorAdjacency(0x0)
11: material=Wall walls=WallAdjacency(EAST | SOUTH_EAST | SOUTH), doors=DoorAdjacency(0x0)
12: material=Wall walls=WallAdjacency(SOUTH | SOUTH_WEST), doors=DoorAdjacency(0x0)
13: material=Wall walls=WallAdjacency(EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(0x0)
14: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(0x0)
15: material=Wall walls=WallAdjacency(EAST | SOUTH_EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(0x0)
16: material=Wall walls=WallAdjacency(WEST), doors=DoorAdjacency(0x0)
17: material=Wall walls=WallAdjacency(EAST | WEST), doors=DoorAdjacency(0x0)
18: material=Wall walls=WallAdjacency(SOUTH | WEST), doors=DoorAdjacency(0x0)
19: material=Wall walls=WallAdjacency(EAST | SOUTH | WEST), doors=DoorAdjacency(0x0)
20: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH | WEST), doors=DoorAdjacency(0x0)
21: material=Wall walls=WallAdjacency(EAST | SOUTH_EAST | SOUTH | WEST), doors=DoorAdjacency(0x0)
22: material=Wall walls=WallAdjacency(SOUTH | SOUTH_WEST | WEST), doors=DoorAdjacency(0x0)
23: material=Wall walls=WallAdjacency(EAST | SOUTH | SOUTH_WEST | WEST), doors=DoorAdjacency(0x0)
24: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH | SOUTH_WEST | WEST), doors=DoorAdjacency(0x0)
25: material=Wall walls=WallAdjacency(EAST | SOUTH_EAST | SOUTH | SOUTH_WEST | WEST), doors=DoorAdjacency(0x0)
26: material=Wall walls=WallAdjacency(0x0), doors=DoorAdjacency(EAST)
27: material=Wall walls=WallAdjacency(SOUTH), doors=DoorAdjacency(EAST)
28: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH), doors=DoorAdjacency(EAST)
29: material=Wall walls=WallAdjacency(SOUTH | SOUTH_WEST), doors=DoorAdjacency(EAST)
30: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH | SOUTH_WEST), doors=DoorAdjacency(EAST)
31: material=Wall walls=WallAdjacency(WEST), doors=DoorAdjacency(EAST)
32: material=Wall walls=WallAdjacency(SOUTH | WEST), doors=DoorAdjacency(EAST)
33: material=Wall walls=WallAdjacency(SOUTH_EAST | SOUTH | WEST), doors=DoorAdjacency(EAST)
