result,center,east,south_east,south
TOP_EMPTY,Empty,Empty,Empty,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Empty,Empty,Wall
TOP_EMPTY,Empty,Empty,Empty,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Empty,Empty,StairN
TOP_EMPTY,Empty,Empty,Empty,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Empty,Empty,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Empty,Empty,StairW
TOP_EMPTY,Empty,Empty,Wall,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,Empty,Wall,Wall
TOP_EMPTY,Empty,Empty,Wall,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,Empty,Wall,StairN
TOP_EMPTY,Empty,Empty,Wall,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Empty,Wall,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Empty,Wall,StairW
TOP_EMPTY,Empty,Empty,Door,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Empty,Door,Wall
TOP_EMPTY,Empty,Empty,Door,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Empty,Door,StairN
TOP_EMPTY,Empty,Empty,Door,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Empty,Door,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Empty,Door,StairW
TOP_EMPTY,Empty,Empty,StairN,Empty
TOP_EMPTY_SOUTHWALLCORNER_SOUTHEASTSTAIRN,Empty,Empty,StairN,Wall
TOP_EMPTY,Empty,Empty,StairN,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,Empty,StairN,StairN
TOP_EMPTY,Empty,Empty,StairN,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Empty,StairN,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Empty,StairN,StairW
TOP_EMPTY,Empty,Empty,StairS,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Empty,StairS,Wall
TOP_EMPTY,Empty,Empty,StairS,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Empty,StairS,StairN
TOP_EMPTY,Empty,Empty,StairS,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Empty,StairS,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Empty,StairS,StairW
TOP_EMPTY,Empty,Empty,StairE,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Empty,StairE,Wall
TOP_EMPTY,Empty,Empty,StairE,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Empty,StairE,StairN
TOP_EMPTY,Empty,Empty,StairE,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Empty,StairE,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Empty,StairE,StairW
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,Empty,StairW,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,Empty,StairW,Wall
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,Empty,StairW,Door
TOP_EMPTY_SOUTHSTAIRN_SOUTHEASTSTAIRW,Empty,Empty,StairW,StairN
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,Empty,StairW,StairS
TOP_EMPTY_SOUTHSTAIRE_SOUTHEASTSTAIRW,Empty,Empty,StairW,StairE
TOP_EMPTY_SOUTHSTAIRW_SOUTHEASTSTAIRW,Empty,Empty,StairW,StairW
TOP_EMPTY,Empty,Wall,Empty,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Wall,Empty,Wall
TOP_EMPTY,Empty,Wall,Empty,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Wall,Empty,StairN
TOP_EMPTY,Empty,Wall,Empty,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Wall,Empty,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Wall,Empty,StairW
TOP_EMPTY,Empty,Wall,Wall,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,Wall,Wall,Wall
TOP_EMPTY,Empty,Wall,Wall,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,Wall,Wall,StairN
TOP_EMPTY,Empty,Wall,Wall,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Wall,Wall,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Wall,Wall,StairW
TOP_EMPTY,Empty,Wall,Door,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Wall,Door,Wall
TOP_EMPTY,Empty,Wall,Door,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Wall,Door,StairN
TOP_EMPTY,Empty,Wall,Door,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Wall,Door,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Wall,Door,StairW
TOP_EMPTY,Empty,Wall,StairN,Empty
TOP_EMPTY_SOUTHWALLCORNER_SOUTHEASTSTAIRN,Empty,Wall,StairN,Wall
TOP_EMPTY,Empty,Wall,StairN,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,Wall,StairN,StairN
TOP_EMPTY,Empty,Wall,StairN,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Wall,StairN,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Wall,StairN,StairW
TOP_EMPTY,Empty,Wall,StairS,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Wall,StairS,Wall
TOP_EMPTY,Empty,Wall,StairS,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Wall,StairS,StairN
TOP_EMPTY,Empty,Wall,StairS,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Wall,StairS,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Wall,StairS,StairW
TOP_EMPTY,Empty,Wall,StairE,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Wall,StairE,Wall
TOP_EMPTY,Empty,Wall,StairE,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Wall,StairE,StairN
TOP_EMPTY,Empty,Wall,StairE,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Wall,StairE,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Wall,StairE,StairW
TOP_EMPTY_SOUTHEASTSTAIRWFULL,Empty,Wall,StairW,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL_SOUTHEASTSTAIRWFULL,Empty,Wall,StairW,Wall
TOP_EMPTY_SOUTHEASTSTAIRWFULL,Empty,Wall,StairW,Door
TOP_EMPTY_SOUTHSTAIRN_SOUTHEASTSTAIRWFULL,Empty,Wall,StairW,StairN
TOP_EMPTY_SOUTHEASTSTAIRWFULL,Empty,Wall,StairW,StairS
TOP_EMPTY_SOUTHSTAIRE_SOUTHEASTSTAIRWFULL,Empty,Wall,StairW,StairE
TOP_EMPTY_SOUTHSTAIRW_SOUTHEASTSTAIRWFULL,Empty,Wall,StairW,StairW
TOP_EMPTY,Empty,Door,Empty,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Door,Empty,Wall
TOP_EMPTY,Empty,Door,Empty,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Door,Empty,StairN
TOP_EMPTY,Empty,Door,Empty,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Door,Empty,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Door,Empty,StairW
TOP_EMPTY,Empty,Door,Wall,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,Door,Wall,Wall
TOP_EMPTY,Empty,Door,Wall,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,Door,Wall,StairN
TOP_EMPTY,Empty,Door,Wall,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Door,Wall,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Door,Wall,StairW
TOP_EMPTY,Empty,Door,Door,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Door,Door,Wall
TOP_EMPTY,Empty,Door,Door,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Door,Door,StairN
TOP_EMPTY,Empty,Door,Door,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Door,Door,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Door,Door,StairW
TOP_EMPTY,Empty,Door,StairN,Empty
TOP_EMPTY_SOUTHWALLCORNER_SOUTHEASTSTAIRN,Empty,Door,StairN,Wall
TOP_EMPTY,Empty,Door,StairN,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,Door,StairN,StairN
TOP_EMPTY,Empty,Door,StairN,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Door,StairN,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Door,StairN,StairW
TOP_EMPTY,Empty,Door,StairS,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Door,StairS,Wall
TOP_EMPTY,Empty,Door,StairS,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Door,StairS,StairN
TOP_EMPTY,Empty,Door,StairS,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Door,StairS,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Door,StairS,StairW
TOP_EMPTY,Empty,Door,StairE,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,Door,StairE,Wall
TOP_EMPTY,Empty,Door,StairE,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,Door,StairE,StairN
TOP_EMPTY,Empty,Door,StairE,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,Door,StairE,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,Door,StairE,StairW
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,Door,StairW,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,Door,StairW,Wall
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,Door,StairW,Door
TOP_EMPTY_SOUTHSTAIRN_SOUTHEASTSTAIRW,Empty,Door,StairW,StairN
TOP_EMPTY_SOUTHEASTSTAIRW,Empty,Door,StairW,StairS
TOP_EMPTY_SOUTHSTAIRE_SOUTHEASTSTAIRW,Empty,Door,StairW,StairE
TOP_EMPTY_SOUTHSTAIRW_SOUTHEASTSTAIRW,Empty,Door,StairW,StairW
TOP_EMPTY,Empty,StairN,Empty,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairN,Empty,Wall
TOP_EMPTY,Empty,StairN,Empty,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairN,Empty,StairN
TOP_EMPTY,Empty,StairN,Empty,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairN,Empty,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairN,Empty,StairW
TOP_EMPTY,Empty,StairN,Wall,Empty
TOP_EMPTY_SOUTHWALLHORIZONTAL,Empty,StairN,Wall,Wall
TOP_EMPTY,Empty,StairN,Wall,Door
TOP_EMPTY_SOUTHSTAIRNFULL,Empty,StairN,Wall,StairN
TOP_EMPTY,Empty,StairN,Wall,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairN,Wall,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairN,Wall,StairW
TOP_EMPTY,Empty,StairN,Door,Empty
TOP_EMPTY_SOUTHWALLCORNER,Empty,StairN,Door,Wall
TOP_EMPTY,Empty,StairN,Door,Door
TOP_EMPTY_SOUTHSTAIRN,Empty,StairN,Door,StairN
TOP_EMPTY,Empty,StairN,Door,StairS
TOP_EMPTY_SOUTHSTAIRE,Empty,StairN,Door,StairE
TOP_EMPTY_SOUTHSTAIRW,Empty,StairN,Door,StairW
TOP_EMPTY,Empty,StairN,StairN,Empty
