TopSprite { center: None, south: None, south_east: None, east: None }
TopSprite { center: None, south: WallCorner, south_east: None, east: None }
TopSprite { center: None, south: StairN, south_east: None, east: None }
TopSprite { center: None, south: StairE, south_east: None, east: None }
TopSprite { center: None, south: StairWFull, south_east: None, east: None }
TopSprite { center: None, south: WallHorizontal, south_east: None, east: None }
TopSprite { center: None, south: StairNFull, south_east: None, east: None }
TopSprite { center: None, south: WallCorner, south_east: StairN, east: None }
TopSprite { center: None, south: StairNFull, south_east: StairN, east: None }
TopSprite { center: None, south: None, south_east: StairW, east: None }
TopSprite { center: None, south: WallHorizontal, south_east: StairW, east: None }
TopSprite { center: None, south: StairN, south_east: StairW, east: None }
TopSprite { center: None, south: StairE, south_east: StairW, east: None }
TopSprite { center: None, south: StairWFull, south_east: StairW, east: None }
TopSprite { center: None, south: None, south_east: StairWFull, east: None }
TopSprite { center: None, south: WallHorizontal, south_east: StairWFull, east: None }
TopSprite { center: None, south: StairN, south_east: StairWFull, east: None }
TopSprite { center: None, south: StairE, south_east: StairWFull, east: None }
TopSprite { center: None, south: StairWFull, south_east: StairWFull, east: None }
TopSprite { center: None, south: None, south_east: None, east: StairW }
TopSprite { center: None, south: WallCorner, south_east: None, east: StairW }
TopSprite { center: None, south: StairN, south_east: None, east: StairW }
TopSprite { center: None, south: StairE, south_east: None, east: StairW }
TopSprite { center: None, south: StairWFull, south_east: None, east: StairW }
TopSprite { center: None, south: None, south_east: None, east: StairWFull }
TopSprite { center: None, south: WallHorizontal, south_east: None, east: StairWFull }
TopSprite { center: None, south: StairNFull, south_east: None, east: StairWFull }
TopSprite { center: None, south: StairE, south_east: None, east: StairWFull }
TopSprite { center: None, south: StairWFull, south_east: None, east: StairWFull }
TopSprite { center: None, south: WallCorner, south_east: StairN, east: StairW }
TopSprite { center: None, south: StairNFull, south_east: StairN, east: StairW }
TopSprite { center: None, south: None, south_east: StairWFull, east: StairWFull }
TopSprite { center: None, south: WallHorizontal, south_east: StairWFull, east: StairWFull }
TopSprite { center: None, south: StairN, south_east: StairWFull, east: StairWFull }
TopSprite { center: None, south: StairE, south_east: StairWFull, east: StairWFull }
TopSprite { center: None, south: StairWFull, south_east: StairWFull, east: StairWFull }
TopSprite { center: WallCorner, south: None, south_east: None, east: None }
TopSprite { center: WallVertical, south: WallCorner, south_east: None, east: None }
TopSprite { center: WallCorner, south: Door, south_east: None, east: None }
TopSprite { center: WallVertical, south: StairN, south_east: None, east: None }
TopSprite { center: WallCorner, south: StairEFull, south_east: None, east: None }
TopSprite { center: WallCorner, south: StairWFull, south_east: None, east: None }
TopSprite { center: WallVertical, south: WallHorizontal, south_east: None, east: None }
TopSprite { center: WallVertical, south: StairNFull, south_east: None, east: None }
TopSprite { center: WallVertical, south: WallCorner, south_east: StairN, east: None }
TopSprite { center: WallVertical, south: StairNFull, south_east: StairN, east: None }
TopSprite { center: WallCorner, south: None, south_east: StairW, east: None }
TopSprite { center: WallVertical, south: WallHorizontal, south_east: StairW, east: None }
TopSprite { center: WallCorner, south: Door, south_east: StairW, east: None }
TopSprite { center: WallVertical, south: StairN, south_east: StairW, east: None }
TopSprite { center: WallCorner, south: StairEFull, south_east: StairW, east: None }
TopSprite { center: WallCorner, south: StairWFull, south_east: StairW, east: None }
TopSprite { center: WallHorizontal, south: None, south_east: None, east: None }
TopSprite { center: WallInverseCorner, south: WallCorner, south_east: None, east: None }
TopSprite { center: WallHorizontal, south: Door, south_east: None, east: None }
TopSprite { center: WallInverseCorner, south: StairN, south_east: None, east: None }
TopSprite { center: WallHorizontal, south: StairEFull, south_east: None, east: None }
TopSprite { center: WallHorizontal, south: StairWFull, south_east: None, east: None }
TopSprite { center: WallFull, south: WallHorizontal, south_east: None, east: None }
TopSprite { center: WallFull, south: StairNFull, south_east: None, east: None }
TopSprite { center: WallInverseCorner, south: WallCorner, south_east: StairN, east: None }
TopSprite { center: WallInverseCorner, south: StairNFull, south_east: StairN, east: None }
TopSprite { center: WallHorizontal, south: None, south_east: StairWFull, east: None }
TopSprite { center: WallInverseCorner, south: WallHorizontal, south_east: StairWFull, east: None }
TopSprite { center: WallHorizontal, south: Door, south_east: StairWFull, east: None }
TopSprite { center: WallInverseCorner, south: StairN, south_east: StairWFull, east: None }
TopSprite { center: WallHorizontal, south: StairEFull, south_east: StairWFull, east: None }
TopSprite { center: WallHorizontal, south: StairWFull, south_east: StairWFull, east: None }
TopSprite { center: WallCorner, south: None, south_east: None, east: Door }
TopSprite { center: WallVertical, south: WallCorner, south_east: None, east: Door }
TopSprite { center: WallCorner, south: Door, south_east: None, east: Door }
TopSprite { center: WallVertical, south: StairN, south_east: None, east: Door }
TopSprite { center: WallCorner, south: StairEFull, south_east: None, east: Door }
TopSprite { center: WallCorner, south: StairWFull, south_east: None, east: Door }
TopSprite { center: WallVertical, south: WallHorizontal, south_east: None, east: Door }
TopSprite { center: WallVertical, south: StairNFull, south_east: None, east: Door }
TopSprite { center: WallVertical, south: WallCorner, south_east: StairN, east: Door }
TopSprite { center: WallVertical, south: StairNFull, south_east: StairN, east: Door }
TopSprite { center: WallCorner, south: None, south_east: StairW, east: Door }
TopSprite { center: WallVertical, south: WallHorizontal, south_east: StairW, east: Door }
TopSprite { center: WallCorner, south: Door, south_east: StairW, east: Door }
TopSprite { center: WallVertical, south: StairN, south_east: StairW, east: Door }
TopSprite { center: WallCorner, south: StairEFull, south_east: StairW, east: Door }
TopSprite { center: WallCorner, south: StairWFull, south_east: StairW, east: Door }
TopSprite { center: WallHorizontal, south: None, south_east: None, east: StairW }
TopSprite { center: WallInverseCorner, south: WallCorner, south_east: None, east: StairW }
TopSprite { center: WallHorizontal, south: Door, south_east: None, east: StairW }
TopSprite { center: WallInverseCorner, south: StairN, south_east: None, east: StairW }
TopSprite { center: WallHorizontal, south: StairEFull, south_east: None, east: StairW }
TopSprite { center: WallHorizontal, south: StairWFull, south_east: None, east: StairW }
TopSprite { center: WallHorizontal, south: None, south_east: None, east: StairWFull }
TopSprite { center: WallFull, south: WallHorizontal, south_east: None, east: StairWFull }
TopSprite { center: WallFull, south: StairNFull, south_east: None, east: StairWFull }
TopSprite { center: WallHorizontal, south: StairEFull, south_east: None, east: StairWFull }
TopSprite { center: WallHorizontal, south: StairWFull, south_east: None, east: StairWFull }
TopSprite { center: WallInverseCorner, south: WallCorner, south_east: StairN, east: StairW }
TopSprite { center: WallInverseCorner, south: StairNFull, south_east: StairN, east: StairW }
TopSprite { center: WallHorizontal, south: None, south_east: StairWFull, east: StairWFull }
TopSprite { center: WallInverseCorner, south: WallHorizontal, south_east: StairWFull, east: StairWFull }
TopSprite { center: WallHorizontal, south: Door, south_east: StairWFull, east: StairWFull }
TopSprite { center: WallInverseCorner, south: StairN, south_east: StairWFull, east: StairWFull }
TopSprite { center: WallHorizontal, south: StairEFull, south_east: StairWFull, east: StairWFull }
TopSprite { center: WallHorizontal, south: StairWFull, south_east: StairWFull, east: StairWFull }
